,Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Mass.g,Mass.Source,ForStrat.Arboreal,ForStrat.Ground,ForStrat.Source,Diet.Invertebrate,Diet.Vertebrate,Diet.Plant,Diet.Source
1,Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,jubatus,46700,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
2,Caracal_caracal,Carnivora,Felidae,Caracal,caracal,13749.9,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
3,Catopuma_badia,Carnivora,Felidae,Catopuma,badia,2500,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
4,Catopuma_temminckii,Carnivora,Felidae,Catopuma,temminckii,11500,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
5,Felis_silvestris,Carnivora,Felidae,Felis,silvestris,5500,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
6,Felis_nigripes,Carnivora,Felidae,Felis,nigripes,1300,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
7,Felis_margarita,Carnivora,Felidae,Felis,margarita,2525,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
8,Felis_chaus,Carnivora,Felidae,Felis,chaus,7393,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
9,Felis_bieti,Carnivora,Felidae,Felis,bieti,7750,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
10,Otocolobus_manul,Carnivora,Felidae,Otocolobus,manul,3500,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
11,Leopardus_guigna,Carnivora,Felidae,Leopardus,guigna,2230,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
12,Leopardus_tigrinus,Carnivora,Felidae,Leopardus,tigrinus,2250,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
13,Leopardus_pardalis,Carnivora,Felidae,Leopardus,pardalis,11900.1,CarniTraits,1,1,CarniTraits,3,81,16,CarniTraits
14,Leopardus_wiedii,Carnivora,Felidae,Leopardus,wiedii,3250,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
15,Leopardus_geoffroyi,Carnivora,Felidae,Leopardus,geoffroyi,3590,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
16,Leopardus_colocolo,Carnivora,Felidae,Leopardus,colocolo,3935,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
17,Leopardus_jacobita,Carnivora,Felidae,Leopardus,jacobita,9170,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
18,Leptailurus_serval,Carnivora,Felidae,Leptailurus,serval,12000,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
19,Lynx_pardinus,Carnivora,Felidae,Lynx,pardinus,9400,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
20,Lynx_rufus,Carnivora,Felidae,Lynx,rufus,8904.1,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
21,Lynx_lynx,Carnivora,Felidae,Lynx,lynx,17950,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
22,Lynx_canadensis,Carnivora,Felidae,Lynx,canadensis,9373.2,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
23,Pardofelis_marmorata,Carnivora,Felidae,Pardofelis,marmorata,2854.3,CarniTraits,1,0,CarniTraits,0,100,0,CarniTraits
24,Prionailurus_bengalensis,Carnivora,Felidae,Prionailurus,bengalensis,3300,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
25,Prionailurus_planiceps,Carnivora,Felidae,Prionailurus,planiceps,6750,PHYLACINE,0,1,EltonTraits,0,100,0,PHYLACINE
26,Prionailurus_rubiginosus,Carnivora,Felidae,Prionailurus,rubiginosus,1384.4,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
27,Prionailurus_viverrinus,Carnivora,Felidae,Prionailurus,viverrinus,9140.3,PHYLACINE,0,1,EltonTraits,20,80,0,PHYLACINE
28,Caracal_aurata,Carnivora,Felidae,Caracal,aurata,10650,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
29,Herpailurus_yagouaroundi,Carnivora,Felidae,Herpailurus,yagouaroundi,7874.9,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
30,Puma_concolor,Carnivora,Felidae,Puma,concolor,51600,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
31,Neofelis_nebulosa,Carnivora,Felidae,Neofelis,nebulosa,20500,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
32,Panthera_leo,Carnivora,Felidae,Panthera,leo,161499.1,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
33,Panthera_tigris,Carnivora,Felidae,Panthera,tigris,162564,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
34,Panthera_onca,Carnivora,Felidae,Panthera,onca,100000,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
35,Panthera_pardus,Carnivora,Felidae,Panthera,pardus,54999.7,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
36,Panthera_uncia,Carnivora,Felidae,Panthera,uncia,44167,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
37,Prionodon_linsang,Carnivora,Prionodontidae,Prionodon,linsang,700,PHYLACINE,1,1,EltonTraits,30,70,0,PHYLACINE
38,Prionodon_pardicolor,Carnivora,Prionodontidae,Prionodon,pardicolor,512,PHYLACINE,1,1,EltonTraits,30,70,0,PHYLACINE
39,Civettictis_civetta,Carnivora,Viverridae,Civettictis,civetta,12000,CarniTraits,0,1,CarniTraits,10,50,40,CarniTraits
40,Genetta_tigrina,Carnivora,Viverridae,Genetta,tigrina,2225,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
41,Genetta_abyssinica,Carnivora,Viverridae,Genetta,abyssinica,1650,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
42,Genetta_angolensis,Carnivora,Viverridae,Genetta,angolensis,1650,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
43,Genetta_bourloni,Carnivora,Viverridae,Genetta,bourloni,1750,CarniTraits,1,1,CarniTraits,50,50,0,CarniTraits
44,Genetta_cristata,Carnivora,Viverridae,Genetta,cristata,2500,CarniTraits,1,1,CarniTraits,30,70,0,CarniTraits
45,Genetta_genetta,Carnivora,Viverridae,Genetta,genetta,1800,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
46,Genetta_johnstoni,Carnivora,Viverridae,Genetta,johnstoni,2225,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
47,Genetta_pardina,Carnivora,Viverridae,Genetta,pardina,3100,CarniTraits,1,1,CarniTraits,20,70,10,CarniTraits
48,Genetta_poensis,Carnivora,Viverridae,Genetta,poensis,2250,CarniTraits,1,1,CarniTraits,20,70,10,CarniTraits
49,Genetta_thierryi,Carnivora,Viverridae,Genetta,thierryi,1400,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
50,Genetta_victoriae,Carnivora,Viverridae,Genetta,victoriae,3000,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
51,Genetta_servalina,Carnivora,Viverridae,Genetta,servalina,1055,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
52,Genetta_piscivora,Carnivora,Viverridae,Genetta,piscivora,3000,CarniTraits,1,1,CarniTraits,0,100,0,CarniTraits
53,Genetta_maculata,Carnivora,Viverridae,Genetta,maculata,2225,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
54,Poiana_richardsonii,Carnivora,Viverridae,Poiana,richardsonii,500,PHYLACINE,1,0,EltonTraits,20,20,60,PHYLACINE
55,Poiana_leightoni,Carnivora,Viverridae,Poiana,leightoni,600,PHYLACINE,1,0,EltonTraits,40,40,20,PHYLACINE
56,Viverra_civettina,Carnivora,Viverridae,Viverra,civettina,12793.8,CarniTraits,0,1,CarniTraits,10,70,20,CarniTraits
57,Viverra_zibetha,Carnivora,Viverridae,Viverra,zibetha,9500,CarniTraits,0,1,CarniTraits,10,80,10,CarniTraits
58,Viverra_tangalunga,Carnivora,Viverridae,Viverra,tangalunga,6885,CarniTraits,0,1,CarniTraits,10,70,20,CarniTraits
59,Viverra_megaspila,Carnivora,Viverridae,Viverra,megaspila,9250,CarniTraits,0,1,CarniTraits,10,70,20,CarniTraits
60,Viverricula_indica,Carnivora,Viverridae,Viverricula,indica,2908.4,CarniTraits,0,1,CarniTraits,20,60,20,CarniTraits
61,Arctictis_binturong,Carnivora,Viverridae,Arctictis,binturong,9875,CarniTraits,1,1,CarniTraits,0,50,50,CarniTraits
62,Arctogalidia_trivirgata,Carnivora,Viverridae,Arctogalidia,trivirgata,2250,CarniTraits,1,0,CarniTraits,20,60,20,CarniTraits
63,Macrogalidia_musschenbroekii,Carnivora,Viverridae,Macrogalidia,musschenbroekii,4000,CarniTraits,1,1,CarniTraits,0,60,40,CarniTraits
64,Paguma_larvata,Carnivora,Viverridae,Paguma,larvata,4300,CarniTraits,1,1,CarniTraits,20,60,20,CarniTraits
65,Paradoxurus_zeylonensis,Carnivora,Viverridae,Paradoxurus,zeylonensis,2780.8,PHYLACINE,1,0,EltonTraits,20,40,40,PHYLACINE
66,Paradoxurus_jerdoni,Carnivora,Viverridae,Paradoxurus,jerdoni,2780.8,PHYLACINE,1,0,EltonTraits,20,40,40,PHYLACINE
67,Paradoxurus_hermaphroditus,Carnivora,Viverridae,Paradoxurus,hermaphroditus,3156.7,PHYLACINE,1,0,EltonTraits,20,40,40,PHYLACINE
68,Chrotogale_owstoni,Carnivora,Viverridae,Chrotogale,owstoni,3250,PHYLACINE,0,1,EltonTraits,70,10,20,PHYLACINE
69,Cynogale_bennettii,Carnivora,Viverridae,Cynogale,bennettii,4500,CarniTraits,0,1,CarniTraits,30,50,20,CarniTraits
70,Diplogale_hosei,Carnivora,Viverridae,Diplogale,hosei,1300,PHYLACINE,0,1,EltonTraits,60,40,0,PHYLACINE
71,Hemigalus_derbyanus,Carnivora,Viverridae,Hemigalus,derbyanus,2322.5,PHYLACINE,0,1,EltonTraits,100,0,0,PHYLACINE
72,Cryptoprocta_ferox,Carnivora,Eupleridae,Cryptoprocta,ferox,9500,CarniTraits,1,1,CarniTraits,10,90,0,CarniTraits
73,Eupleres_goudotii,Carnivora,Eupleridae,Eupleres,goudotii,3000,PHYLACINE,0,1,EltonTraits,90,10,0,PHYLACINE
74,Fossa_fossana,Carnivora,Eupleridae,Fossa,fossana,1500,PHYLACINE,1,1,EltonTraits,70,20,10,PHYLACINE
75,Galidia_elegans,Carnivora,Eupleridae,Galidia,elegans,800,PHYLACINE,1,1,EltonTraits,10,80,10,PHYLACINE
76,Galidictis_grandidieri,Carnivora,Eupleridae,Galidictis,grandidieri,1400,CarniTraits,1,1,CarniTraits,30,70,0,CarniTraits
77,Galidictis_fasciata,Carnivora,Eupleridae,Galidictis,fasciata,550,PHYLACINE,0,1,EltonTraits,30,70,0,PHYLACINE
78,Mungotictis_decemlineata,Carnivora,Eupleridae,Mungotictis,decemlineata,650,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
79,Salanoia_concolor,Carnivora,Eupleridae,Salanoia,concolor,650,PHYLACINE,0,1,EltonTraits,50,30,20,PHYLACINE
80,Nandinia_binotata,Carnivora,Nandiniidae,Nandinia,binotata,2000,PHYLACINE,1,0,EltonTraits,10,10,80,PHYLACINE
81,Atilax_paludinosus,Carnivora,Herpestidae,Atilax,paludinosus,3300,CarniTraits,0,1,CarniTraits,40,60,0,CarniTraits
82,Bdeogale_crassicauda,Carnivora,Herpestidae,Bdeogale,crassicauda,1550,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
83,Bdeogale_jacksoni,Carnivora,Herpestidae,Bdeogale,jacksoni,2500,CarniTraits,0,1,CarniTraits,40,60,0,CarniTraits
84,Bdeogale_nigripes,Carnivora,Herpestidae,Bdeogale,nigripes,2500,PHYLACINE,0,1,EltonTraits,60,40,0,PHYLACINE
85,Crossarchus_platycephalus,Carnivora,Herpestidae,Crossarchus,platycephalus,1000,CarniTraits,0,1,CarniTraits,50,50,0,CarniTraits
86,Crossarchus_obscurus,Carnivora,Herpestidae,Crossarchus,obscurus,1250,PHYLACINE,0,1,EltonTraits,60,20,20,PHYLACINE
87,Crossarchus_ansorgei,Carnivora,Herpestidae,Crossarchus,ansorgei,700,PHYLACINE,0,1,EltonTraits,60,20,20,PHYLACINE
88,Crossarchus_alexandri,Carnivora,Herpestidae,Crossarchus,alexandri,1500,PHYLACINE,0,1,EltonTraits,60,20,20,PHYLACINE
89,Cynictis_penicillata,Carnivora,Herpestidae,Cynictis,penicillata,836,PHYLACINE,0,1,EltonTraits,90,10,0,PHYLACINE
90,Dologale_dybowskii,Carnivora,Herpestidae,Dologale,dybowskii,350,PHYLACINE,0,1,EltonTraits,60,40,0,PHYLACINE
91,Herpestes_sanguineus,Carnivora,Herpestidae,Herpestes,sanguineus,550,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
92,Herpestes_pulverulentus,Carnivora,Herpestidae,Herpestes,pulverulentus,797,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
93,Herpestes_flavescens,Carnivora,Herpestidae,Herpestes,flavescens,750,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
94,Herpestes_ochraceus,Carnivora,Herpestidae,Herpestes,ochraceus,498,PHYLACINE,0,1,EltonTraits,29,14,57,PHYLACINE
95,Helogale_hirtula,Carnivora,Herpestidae,Helogale,hirtula,289,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
96,Helogale_parvula,Carnivora,Herpestidae,Helogale,parvula,300,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
97,Herpestes_brachyurus,Carnivora,Herpestidae,Herpestes,brachyurus,1853.5,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
98,Herpestes_vitticollis,Carnivora,Herpestidae,Herpestes,vitticollis,2575.6,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
99,Herpestes_urva,Carnivora,Herpestidae,Herpestes,urva,1863.2,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
100,Herpestes_smithii,Carnivora,Herpestidae,Herpestes,smithii,1782,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
101,Herpestes_semitorquatus,Carnivora,Herpestidae,Herpestes,semitorquatus,3500,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
102,Herpestes_naso,Carnivora,Herpestidae,Herpestes,naso,3000,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
103,Herpestes_javanicus,Carnivora,Herpestidae,Herpestes,javanicus,750,PHYLACINE,0,1,EltonTraits,30,60,10,PHYLACINE
104,Herpestes_ichneumon,Carnivora,Herpestidae,Herpestes,ichneumon,5175,CarniTraits,0,1,CarniTraits,30,60,10,CarniTraits
105,Herpestes_edwardsii,Carnivora,Herpestidae,Herpestes,edwardsii,1324.2,CarniTraits,0,1,CarniTraits,20,70,10,CarniTraits
106,Herpestes_fuscus,Carnivora,Herpestidae,Herpestes,fuscus,2700,PHYLACINE,0,1,EltonTraits,29,14,57,PHYLACINE
107,Ichneumia_albicauda,Carnivora,Herpestidae,Ichneumia,albicauda,3500,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
108,Liberiictis_kuhni,Carnivora,Herpestidae,Liberiictis,kuhni,2150,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
109,Mungos_mungo,Carnivora,Herpestidae,Mungos,mungo,1925,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
110,Mungos_gambianus,Carnivora,Herpestidae,Mungos,gambianus,1500,PHYLACINE,0,1,EltonTraits,80,20,0,PHYLACINE
111,Paracynictis_selousi,Carnivora,Herpestidae,Paracynictis,selousi,1640,PHYLACINE,0,1,EltonTraits,60,40,0,PHYLACINE
112,Rhynchogale_melleri,Carnivora,Herpestidae,Rhynchogale,melleri,2500,PHYLACINE,0,1,EltonTraits,40,30,30,PHYLACINE
113,Suricata_suricatta,Carnivora,Herpestidae,Suricata,suricatta,725.5,PHYLACINE,0,1,EltonTraits,70,20,10,PHYLACINE
114,Crocuta_crocuta,Carnivora,Hyaenidae,Crocuta,crocuta,62999.9,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
115,Hyaena_hyaena,Carnivora,Hyaenidae,Hyaena,hyaena,41705.1,CarniTraits,0,1,CarniTraits,10,80,10,CarniTraits
116,Parahyaena_brunnea,Carnivora,Hyaenidae,Parahyaena,brunnea,32200.3,CarniTraits,0,1,CarniTraits,10,80,10,CarniTraits
117,Proteles_cristata,Carnivora,Hyaenidae,Proteles,cristata,10000,PHYLACINE,0,1,EltonTraits,100,0,0,PHYLACINE
118,Vulpes_vulpes,Carnivora,Canidae,Vulpes,vulpes,5318.2,CarniTraits,0,1,CarniTraits,1,88,11,CarniTraits
119,Vulpes_cana,Carnivora,Canidae,Vulpes,cana,936.9,PHYLACINE,0,1,EltonTraits,30,10,60,PHYLACINE
120,Vulpes_chama,Carnivora,Canidae,Vulpes,chama,2955,CarniTraits,0,1,CarniTraits,30,70,0,CarniTraits
121,Vulpes_corsac,Carnivora,Canidae,Vulpes,corsac,2400,CarniTraits,0,1,CarniTraits,20,70,10,CarniTraits
122,Vulpes_ferrilata,Carnivora,Canidae,Vulpes,ferrilata,5000,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
123,Vulpes_rueppellii,Carnivora,Canidae,Vulpes,rueppellii,2865,CarniTraits,0,1,CarniTraits,20,60,20,CarniTraits
124,Vulpes_zerda,Carnivora,Canidae,Vulpes,zerda,1100,CarniTraits,0,1,CarniTraits,20,50,30,CarniTraits
125,Vulpes_bengalensis,Carnivora,Canidae,Vulpes,bengalensis,2726,CarniTraits,0,1,CarniTraits,20,60,20,CarniTraits
126,Vulpes_velox,Carnivora,Canidae,Vulpes,velox,2197.5,CarniTraits,0,1,CarniTraits,10,90,0,CarniTraits
127,Vulpes_lagopus,Carnivora,Canidae,Vulpes,lagopus,4867.7,PHYLACINE,0,1,EltonTraits,10,90,0,PHYLACINE
128,Vulpes_macrotis,Carnivora,Canidae,Vulpes,macrotis,2050,CarniTraits,0,1,CarniTraits,30,70,0,CarniTraits
129,Vulpes_pallida,Carnivora,Canidae,Vulpes,pallida,2800,CarniTraits,0,1,CarniTraits,0,80,20,CarniTraits
130,Atelocynus_microtis,Carnivora,Canidae,Atelocynus,microtis,7750,CarniTraits,0,1,CarniTraits,0,80,20,CarniTraits
131,Canis_aureus,Carnivora,Canidae,Canis,aureus,10345.2,CarniTraits,0,1,CarniTraits,10,80,10,CarniTraits
132,Canis_latrans,Carnivora,Canidae,Canis,latrans,13406.3,CarniTraits,0,1,CarniTraits,11,68,21,CarniTraits
133,Canis_lupus,Carnivora,Canidae,Canis,lupus,32183.3,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
134,Canis_mesomelas,Carnivora,Canidae,Canis,mesomelas,8500,CarniTraits,0,1,CarniTraits,10,60,30,CarniTraits
135,Canis_simensis,Carnivora,Canidae,Canis,simensis,10000,CarniTraits,0,1,CarniTraits,0,100,0,CarniTraits
136,Canis_adustus,Carnivora,Canidae,Canis,adustus,10249.9,CarniTraits,0,1,CarniTraits,30,50,20,CarniTraits
